ath,atl,collectDatetime,coursAction,nomIndice,valeurOuverture,variationAction
21.960 ,21.750 ,2023-12-13 10:10:28,21.940 ,BUREAU VERITAS,21.760 ,+1.01%
741.300 ,720.000 ,2023-12-13 10:10:28,740.500 ,LVMH,720.000 ,+0.94%
118.700 ,117.400 ,2023-12-13 10:10:28,118.600 ,ADP,117.500 ,+0.94%
18.550 ,18.350 ,2023-12-13 10:10:28,18.540 ,ELIS,18.350 ,+0.93%
ath,atl,collectDatetime,coursAction,nomIndice,valeurOuverture,variationAction
12.706 ,12.626 ,2023-12-13 13:09:10,12.664 ,CREDIT AGRICOLE SA,12.650 ,+0.05%
179.400 ,178.020 ,2023-12-13 13:09:10,179.380 ,AIR LIQUIDE,178.500 ,+0.61%
143.440 ,142.440 ,2023-12-13 13:09:10,142.940 ,AIRBUS,143.000 ,+0.18%
11.185 ,10.915 ,2023-12-13 13:09:10,10.980 ,ALSTOM,11.020 ,-0.90%
59.650 ,59.290 ,2023-12-13 13:09:10,59.480 ,DANONE,59.600 ,-0.12%
60.930 ,60.340 ,2023-12-13 13:09:10,60.900 ,BNP PARIBAS,60.530 ,+0.13%
16.920 ,16.430 ,2023-12-13 13:09:10,16.495 ,CARREFOUR,16.920 ,-3.17%
194.200 ,193.100 ,2023-12-13 13:09:10,193.350 ,CAPGEMINI,193.400 ,+0.16%
30.160 ,29.840 ,2023-12-13 13:09:10,29.970 ,AXA,30.000 ,-0.33%
115.560 ,114.800 ,2023-12-13 13:09:10,115.560 ,VINCI,115.100 ,+0.14%
156.650 ,154.800 ,2023-12-13 13:09:10,156.250 ,PERNOD RICARD,155.700 ,+0.19%
45.185 ,44.695 ,2023-12-13 13:09:10,44.775 ,DASSAULT SYSTEMES,45.000 ,-0.13%
2 043.500 ,2 006.500 ,2023-12-13 13:09:10,2 033.500 ,HERMES INTL,2 009.000 ,+1.19%
53.620 ,53.140 ,2023-12-13 13:09:10,53.480 ,EDENRED,53.200 ,+0.68%
187.200 ,183.100 ,2023-12-13 13:09:10,186.440 ,ESSILORLUXOTTICA,183.100 ,+1.57%
37.930 ,37.085 ,2023-12-13 13:09:10,37.220 ,RENAULT,37.660 ,-1.05%
168.760 ,166.940 ,2023-12-13 13:09:10,167.100 ,SAFRAN,168.020 ,-0.23%
36.000 ,35.780 ,2023-12-13 13:09:10,35.950 ,BOUYGUES,35.960 ,-0.06%
16.160 ,16.024 ,2023-12-13 13:09:10,16.160 ,ENGIE,16.062 ,+1.06%
88.570 ,87.730 ,2023-12-13 13:09:10,88.030 ,SANOFI,88.040 ,+0.18%
54.900 ,54.360 ,2023-12-13 13:09:10,54.580 ,EUROFINS SCIENTIFIC,54.360 ,+0.22%
63.780 ,63.280 ,2023-12-13 13:09:10,63.490 ,SAINT-GOBAIN,63.390 ,+0.76%
24.010 ,23.660 ,2023-12-13 13:09:10,23.900 ,SOCIETE GENERALE,23.710 ,+0.80%
139.100 ,138.050 ,2023-12-13 13:09:10,138.800 ,THALES,138.350 ,+0.98%
21.220 ,20.930 ,2023-12-13 13:09:10,21.220 ,STELLANTIS,20.945 ,+1.17%
2.440 ,2.312 ,2023-12-13 13:09:10,2.378 ,SOLUTIONS 30,2.314 ,+4.76%
413.250 ,405.300 ,2023-12-13 13:09:10,409.400 ,KERING,406.400 ,-0.26%
44.875 ,44.535 ,2023-12-13 13:09:10,44.555 ,STMICROELECTRONICS,44.800 ,+0.03%
96.620 ,92.540 ,2023-12-13 13:09:10,95.080 ,ARKEMA,93.380 ,+4.12%
95.460 ,95.040 ,2023-12-13 13:09:10,95.340 ,LEGRAND,95.040 ,+0.57%
178.220 ,177.000 ,2023-12-13 13:09:10,177.020 ,SCHNEIDER ELECTRIC,177.720 ,+0.03%
112.400 ,109.200 ,2023-12-13 13:09:10,112.000 ,SES IMAGOTAG,109.200 ,+2.75%
742.200 ,720.000 ,2023-12-13 13:09:10,736.600 ,LVMH,720.000 ,+0.41%
32.020 ,31.830 ,2023-12-13 13:09:10,31.850 ,MICHELIN,31.880 ,-0.09%
119.150 ,117.200 ,2023-12-13 13:09:10,117.250 ,TELEPERFORMANCE,117.400 ,-0.30%
61.640 ,61.030 ,2023-12-13 13:09:10,61.630 ,TOTALENERGIES,61.400 ,+0.52%
8.270 ,7.750 ,2023-12-13 13:09:10,8.200 ,VOLTALIA,7.890 ,+2.37%
449.950 ,445.650 ,2023-12-13 13:09:10,448.850 ,L'OREAL,446.050 ,+0.93%
11.134 ,10.744 ,2023-12-13 13:09:11,10.856 ,ORANGE,11.134 ,-2.72%
63.500 ,62.720 ,2023-12-13 13:09:11,62.820 ,UNIBAIL-RODAMCO-WESTFIELD,62.720 ,+0.29%
0.569 ,0.555 ,2023-12-13 13:09:11,0.560 ,CGG,0.567 ,+1.71%
82.400 ,81.620 ,2023-12-13 13:09:11,82.060 ,PUBLICIS GROUPE,82.300 ,-0.41%
29.470 ,29.120 ,2023-12-13 13:09:11,29.360 ,VEOLIA,29.120 ,+0.65%
15.575 ,15.125 ,2023-12-13 13:09:11,15.245 ,WORLDLINE,15.415 ,-1.96%
19.435 ,18.875 ,2023-12-13 13:09:11,19.280 ,FORVIA,18.900 ,+1.69%
14.560 ,14.280 ,2023-12-13 13:09:11,14.540 ,CARMILA,14.320 ,+1.68%
193.400 ,190.100 ,2023-12-13 13:09:11,192.900 ,SOPRA STERIA,190.100 ,+1.63%
82.300 ,80.750 ,2023-12-13 13:09:11,81.900 ,WENDEL,80.750 ,+1.61%
27.240 ,26.460 ,2023-12-13 13:09:11,27.140 ,NEOEN,26.560 ,+1.57%
28.240 ,27.650 ,2023-12-13 13:09:11,28.070 ,SCOR,27.720 ,+1.37%
9.080 ,8.928 ,2023-12-13 13:09:11,9.014 ,VIVENDI,8.928 ,+1.28%
187.200 ,183.100 ,2023-12-13 13:09:11,185.800 ,ESSILORLUXOTTICA,183.100 ,+1.22%
2 043.500 ,2 006.500 ,2023-12-13 13:09:11,2 033.000 ,HERMES INTL,2 009.000 ,+1.17%
21.220 ,20.930 ,2023-12-13 13:09:11,21.210 ,STELLANTIS,20.945 ,+1.12%
33.600 ,33.000 ,2023-12-13 13:09:11,33.250 ,MERSEN,33.000 ,+1.06%
102.900 ,101.700 ,2023-12-13 13:09:11,102.400 ,IPSEN,101.700 ,+0.89%
300.000 ,291.500 ,2023-12-13 13:09:11,298.000 ,VIRBAC,292.000 ,+0.85%
22.220 ,21.940 ,2023-12-13 13:09:11,22.200 ,RUBIS,22.000 ,+0.82%
11.340 ,11.170 ,2023-12-13 13:09:11,11.290 ,COFACE,11.170 ,+0.80%
139.100 ,138.050 ,2023-12-13 13:09:11,138.550 ,THALES,138.350 ,+0.80%
16.162 ,16.024 ,2023-12-13 13:09:11,16.116 ,ENGIE,16.062 ,+0.79%
63.780 ,63.280 ,2023-12-13 13:09:11,63.480 ,SAINT-GOBAIN,63.390 ,+0.75%
20.310 ,19.810 ,2023-12-13 13:09:11,20.270 ,TECHNIP ENERGIES,20.060 ,+0.75%
26.240 ,25.840 ,2023-12-13 13:09:11,25.980 ,IMERYS,25.840 ,+0.70%
